Month,Handle,Revenue,Hold,Taxes
6/1/2018,"309,695,659","24,630,915",0.08,"1,895,011"
7/1/2018,"294,006,820","8,433,994",0.03,"926,804"
8/1/2018,"359,275,692","23,625,881",0.07,"2,524,419"
9/1/2018,"817,681,310","95,358,434",0.12,"12,245,073"
10/1/2018,"854,014,077","45,832,391",0.05,"5,217,752"
11/1/2018,"996,071,884","54,349,323",0.06,"6,272,898"
12/1/2018,"990,933,059","82,266,923",0.08,"11,262,831"
1/1/2019,"1,002,092,655","43,052,327",0.04,"6,529,559"
2/1/2019,"881,756,490","51,972,715",0.06,"4,515,655"
3/1/2019,"1,095,599,580","79,856,363",0.07,"10,746,670"
4/1/2019,"731,628,959","52,524,099",0.07,"7,496,899"
5/1/2019,"724,074,602","32,939,800",0.05,"4,843,870"
6/1/2019,"685,786,299","34,150,011",0.05,"4,727,521"
7/1/2019,"581,017,296","37,075,760",0.06,"5,068,934"
8/1/2019,"750,692,735","62,738,953",0.08,"8,243,580"
9/1/2019,"1,381,692,847","143,317,497",0.10,"21,232,130"
10/1/2019,"1,559,104,891","155,108,642",0.10,"22,455,266"
11/1/2019,"1,877,044,887","113,770,997",0.06,"18,117,771"
12/1/2019,"1,870,346,374","114,143,414",0.06,"17,343,390"
1/1/2020,"1,800,052,757","139,845,880",0.08,"24,038,427"
2/1/2020,"1,731,395,665","84,328,330",0.05,"10,255,014"
3/1/2020,"612,379,377","35,297,033",0.06,"6,970,933"
4/1/2020,"167,875,839","9,762,318",0.06,"2,025,900"
5/1/2020,"315,226,816","25,350,115",0.08,"4,337,755"
6/1/2020,"447,471,765","29,732,415",0.07,"5,621,836"
7/1/2020,"906,977,542","72,384,321",0.08,"10,711,534"
8/1/2020,"2,191,669,452","129,761,682",0.06,"19,172,265"
9/1/2020,"2,875,270,552","156,615,169",0.05,"20,297,227"
10/1/2020,"3,276,726,385","291,317,909",0.09,"46,294,360"
11/1/2020,"3,484,288,518","309,007,013",0.09,"52,707,862"
12/1/2020,"3,797,269,693","277,472,250",0.07,"44,608,025"
1/1/2021,"4,370,440,098","378,653,248",0.09,"54,733,343"
2/1/2021,"4,013,657,606","225,993,459",0.06,"30,326,038"
3/1/2021,"4,629,130,324","357,366,025",0.08,"46,072,934"
4/1/2021,"3,703,934,150","283,202,902",0.08,"40,986,651"
5/1/2021,"3,714,799,742","273,387,615",0.07,"40,128,243"
6/1/2021,"3,676,060,695","335,906,085",0.09,"49,792,686"
7/1/2021,"2,799,391,495","268,126,230",0.10,"37,810,988"
8/1/2021,"3,071,879,791","224,622,673",0.07,"29,293,371"
9/1/2021,"5,491,749,708","450,808,836",0.08,"51,990,345"
10/1/2021,"7,546,972,781","448,627,693",0.06,"55,031,304"
11/1/2021,"7,405,646,041","725,367,326",0.10,"99,002,593"
12/1/2021,"7,339,244,974","381,002,482",0.05,"38,936,353"
1/1/2022,"9,749,393,395","637,441,784",0.07,"130,501,485"
2/1/2022,"7,939,395,270","391,967,457",0.05,"70,522,520"
3/1/2022,"9,262,257,730","623,923,142",0.07,"119,075,504"
4/1/2022,"7,476,187,515","527,088,608",0.07,"111,570,936"
5/1/2022,"6,686,988,033","610,261,607",0.09,"122,646,968"
6/1/2022,"5,480,948,489","334,079,739",0.06,"71,013,754"
7/1/2022,"4,533,090,868","407,128,610",0.09,"85,502,878"
8/1/2022,"4,909,529,483","526,908,745",0.11,"110,455,541"
9/1/2022,"7,919,599,327","934,400,945",0.12,"176,297,813"
10/1/2022,"9,684,589,668","843,130,409",0.09,"171,635,303"
11/1/2022,"10,020,250,696","800,107,859",0.08,"174,934,839"
12/1/2022,"10,053,933,645","954,897,119",0.10,"175,806,608"
1/1/2023,"11,474,863,670","1,061,827,756",0.09,"189,743,789"
2/1/2023,"9,009,612,531","707,276,780",0.08,"134,403,137"
3/1/2023,"11,262,697,287","1,079,620,124",0.10,"205,034,587"
4/1/2023,"9,162,332,942","862,206,677",0.09,"172,752,931"
5/1/2023,"8,140,809,202","919,734,850",0.11,"184,834,192"
6/1/2023,"6,610,619,363","547,710,210",0.08,"114,224,498"
7/1/2023,"5,901,182,558","618,948,317",0.11,"129,002,800"
8/1/2023,"6,677,587,229","620,679,673",0.09,"121,957,492"
9/1/2023,"11,596,366,338","1,117,054,945",0.10,"209,172,440"
10/1/2023,"12,802,336,482","1,227,196,058",0.10,"236,083,223"
11/1/2023,"14,474,065,653","935,881,918",0.07,"180,100,122"
12/1/2023,"13,965,188,901","1,355,315,338",0.10,"267,091,035"
1/1/2024,"13,875,554,967","1,503,994,174",0.11,"298,296,147"
2/1/2024,"11,320,643,093","898,297,345",0.08,"175,756,966"
3/1/2024,"13,926,298,640","1,091,594,985",0.08,"212,076,249"
4/1/2024,"12,079,357,715","1,182,790,902",0.10,"240,066,322"
5/1/2024,"11,054,042,861","1,159,666,546",0.11,"248,009,565"
6/1/2024,"9,106,391,978","859,412,080",0.09,"178,966,678"
7/1/2024,"7,924,449,890","882,012,665",0.11,"186,860,946"
8/1/2024,"9,084,416,726","801,431,054",0.09,"165,665,802"
9/1/2024,"13,277,141,614","1,496,514,688",0.11,"313,514,922"